time_min,scenario,own_ship,target_ship,encounter_type,colregs_role,dcpa_nm,tcpa_min,d_star,t_star,own_ship_length_nm,r_geom,r_env,u,c_colregs,r_total,risk_level,aggregation
0,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,2,13.64,37.04,50.336,0.054,0.338,0.158,0.218,0.6,0.281,Низький,max pair risk
1,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,1.914,12.61,35.447,46.535,0.054,0.366,0.162,0.216,0.6,0.304,Середній,max pair risk
2,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,1.828,11.68,33.855,43.103,0.054,0.392,0.166,0.214,0.6,0.325,Середній,max pair risk
3,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,1.742,10.84,32.262,40.003,0.054,0.415,0.17,0.212,0.6,0.344,Середній,max pair risk
4,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,1.656,10.11,30.669,37.309,0.054,0.436,0.174,0.21,0.6,0.361,Середній,max pair risk
5,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,1.57,9.48,29.076,34.984,0.054,0.456,0.178,0.208,0.6,0.377,Середній,max pair risk
6,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,1.484,8.95,27.484,33.028,0.054,0.473,0.183,0.207,0.6,0.391,Середній,max pair risk
7,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,1.398,8.52,25.891,31.442,0.054,0.488,0.187,0.205,0.6,0.402,Середній,max pair risk
8,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,1.312,8.18,24.298,30.187,0.054,0.503,0.191,0.203,0.6,0.414,Середній,max pair risk
9,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,1.226,7.95,22.706,29.338,0.054,0.516,0.195,0.201,0.6,0.424,Середній,max pair risk
10,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,1.14,7.82,21.113,28.858,0.054,0.528,0.199,0.199,0.6,0.433,Середній,max pair risk
11,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,1.054,7.79,19.52,28.748,0.054,0.539,0.203,0.197,0.6,0.441,Середній,max pair risk
12,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,0.968,7.86,17.927,29.006,0.054,0.55,0.207,0.195,0.6,0.449,Середній,max pair risk
13,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,0.882,8.02,16.335,29.596,0.054,0.561,0.211,0.193,0.6,0.456,Середній,max pair risk
14,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,0.797,8.29,14.76,30.593,0.054,0.571,0.215,0.191,0.6,0.463,Середній,max pair risk
15,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,0.726,8.66,13.446,31.958,0.054,0.581,0.22,0.19,0.6,0.469,Середній,max pair risk
16,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,0.66,9.13,12.223,33.693,0.054,0.592,0.224,0.188,0.6,0.474,Середній,max pair risk
17,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,0.59,9.7,10.927,35.796,0.054,0.604,0.228,0.186,0.6,0.479,Середній,max pair risk
18,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,0.508,10.36,9.408,38.232,0.054,0.621,0.232,0.184,0.6,0.484,Середній,max pair risk
19,Сценарій 1 — зустріч на зустрічних курсах за помірних умов,OS,TS-1,head-on,mutual,0.406,11.13,7.519,41.073,0.054,0.634,0.236,0.182,0.6,0.487,Середній,max pair risk
