time_min,scenario,own_ship,target_ship,encounter_type,colregs_role,dcpa_nm,tcpa_min,d_star,t_star,own_ship_length_nm,r_geom,r_env,u,c_colregs,r_total,risk_level,aggregation
0,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,3.5,25.26,64.82,93.218,0.054,0.131,0.025,0.169,0.6,0.137,Низький,max pair risk
1,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,3.345,24.15,61.949,89.121,0.054,0.155,0.029,0.166,0.6,0.153,Низький,max pair risk
2,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,3.19,23.13,59.079,85.357,0.054,0.175,0.033,0.162,0.6,0.165,Низький,max pair risk
3,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,3.035,22.22,56.208,81.999,0.054,0.193,0.036,0.159,0.6,0.176,Низький,max pair risk
4,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,2.88,21.41,53.338,79.01,0.054,0.21,0.04,0.155,0.6,0.186,Низький,max pair risk
5,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,2.725,20.7,50.467,76.39,0.054,0.223,0.044,0.152,0.6,0.194,Низький,max pair risk
6,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,2.57,20.08,47.596,74.102,0.054,0.236,0.048,0.148,0.6,0.201,Низький,max pair risk
7,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,2.415,19.57,44.726,72.22,0.054,0.247,0.051,0.145,0.6,0.207,Низький,max pair risk
8,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,2.26,19.16,41.855,70.707,0.054,0.255,0.055,0.141,0.6,0.211,Низький,max pair risk
9,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,2.105,18.84,38.985,69.526,0.054,0.263,0.059,0.138,0.6,0.215,Низький,max pair risk
10,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,1.95,18.63,36.114,68.751,0.054,0.27,0.063,0.135,0.6,0.218,Низький,max pair risk
11,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,1.795,18.52,33.243,68.345,0.054,0.275,0.066,0.131,0.6,0.221,Низький,max pair risk
12,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,1.64,18.5,30.373,68.271,0.054,0.28,0.07,0.128,0.6,0.223,Низький,max pair risk
13,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,1.485,18.59,27.502,68.603,0.054,0.285,0.074,0.124,0.6,0.225,Низький,max pair risk
14,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,1.33,18.78,24.632,69.304,0.054,0.289,0.078,0.121,0.6,0.226,Низький,max pair risk
15,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,1.175,19.06,21.761,70.338,0.054,0.293,0.081,0.117,0.6,0.228,Низький,max pair risk
16,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,1.02,19.45,18.89,71.777,0.054,0.298,0.085,0.114,0.6,0.229,Низький,max pair risk
17,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,0.865,19.94,16.02,73.585,0.054,0.302,0.089,0.11,0.6,0.229,Низький,max pair risk
18,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,0.71,20.53,13.149,75.762,0.054,0.307,0.093,0.107,0.6,0.23,Низький,max pair risk
19,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,0.555,21.21,10.279,78.272,0.054,0.315,0.096,0.103,0.6,0.23,Низький,max pair risk
20,Сценарій 6 — обгін за спокійних умов,OS,TS-1,overtaking,mutual,0.4,22,7.408,81.187,0.054,0.32,0.1,0.1,0.6,0.23,Низький,max pair risk
